"Id nieruchomości","Nazwa dewelopera","Nr KRS","Nr wpisu do CEiDG","Nr NIP","Nr REGON","Nr telefonu","Adres poczty elektronicznej","Nr faxu","Adres strony internetowej dewelopera","Województwo adresu siedziby/głównego miejsca wykonywania działalności gospodarczej dewelopera","Powiat adresu siedziby/głównego miejsca wykonywania działalności gospodarczej dewelopera ","Gmina adresu siedziby/głównego miejsca wykonywania działalności gospodarczej dewelopera","Miejscowość adresu siedziby/głównego miejsca wykonywania działalności gospodarczej dewelopera","Ulica adresu siedziby/głównego miejsca wykonywania działalności gospodarczej dewelopera","Nr nieruchomości adresu siedziby/głównego miejsca wykonywania działalności gospodarczej dewelopera","Nr lokalu adresu siedziby/głównego miejsca wykonywania działalności gospodarczej dewelopera","Kod pocztowy adresu siedziby/głównego miejsca wykonywania działalności gospodarczej dewelopera","Nazwa inwestycji","Adres strony internetowej inwestycji","Województwo adresu lokalu w którym prowadzona jest sprzedaż","Powiat adresu lokalu w którym prowadzona jest sprzedaż","Gmina adresu lokalu w którym prowadzona jest sprzedaż","Miejscowość adresu lokalu w którym prowadzona jest sprzedaż","Ulica adresu lokalu w którym prowadzona jest sprzedaż","Nr nieruchomości adresu lokalu w którym prowadzona jest sprzedaż","Nr lokalu adresu lokalu w którym prowadzona jest sprzedaż","Kod pocztowy adresu lokalu w którym prowadzona jest sprzedaż","Województwo lokalizacji przedsięwzięcia deweloperskiego lub zadania inwestycyjnego","Powiat lokalizacji przedsięwzięcia deweloperskiego lub zadania inwestycyjnego","Gmina lokalizacji przedsięwzięcia deweloperskiego lub zadania inwestycyjnego","Miejscowość lokalizacji przedsięwzięcia deweloperskiego lub zadania inwestycyjnego","Ulica lokalizacji przedsięwzięcia deweloperskiego lub zadania inwestycyjnego","Nr nieruchomości lokalizacji przedsięwzięcia deweloperskiego lub zadania inwestycyjnego","Kod pocztowy lokalizacji przedsięwzięcia deweloperskiego lub zadania inwestycyjnego","Rodzaj nieruchomości: lokal mieszkalny dom jednorodzinny","Nr nieruchomości nadany przez dewelopera",Powierzchnia,"Piętro nieruchomości","Liczba pokoi","Stawka VAT (%)",Waluta,"Cena za m2 nieruchomości","Data od której obowiązuje cena za m2 nieruchomości","Cena nieruchomości","Data od której obowiązuje cena nieruchomości","Adres strony internetowej pod którym dostępny jest prospekt informacyjny","Inne świadczenia pieniężne"
2526,"MADEY DEVELOPMENT 6 Spółka z ograniczoną odpowiedzialnością",0001179630,X,7282898948,542036426,576117119,sprzedaz@madeydevelopment.pl,X,www.piekarskapark.pl,łódzkie,Łódź,Łódź,Łódź,Przybyszewskiego,199,205,93-120,"Piekarska Park",www.piekarskapark.pl,łódzkie,Łódź,Łódź,Łódź,Inflancka,120,X,91-848,łódzkie,Łódź,X,Łódź,Piekarska,27/29,91-314,Mieszkanie,A1.1,82.30,1,4,8,PLN,10100.00,"2025-11-04 00:00",831230.00,"2025-11-04 00:00",https://piekarskapark.pl/prospekt,X
2527,"MADEY DEVELOPMENT 6 Spółka z ograniczoną odpowiedzialnością",0001179630,X,7282898948,542036426,576117119,sprzedaz@madeydevelopment.pl,X,www.piekarskapark.pl,łódzkie,Łódź,Łódź,Łódź,Przybyszewskiego,199,205,93-120,"Piekarska Park",www.piekarskapark.pl,łódzkie,Łódź,Łódź,Łódź,Inflancka,120,X,91-848,łódzkie,Łódź,X,Łódź,Piekarska,27/29,91-314,Mieszkanie,A1.2,39.29,1,2,8,PLN,11000.00,"2025-11-04 00:00",432190.00,"2025-11-04 00:00",https://piekarskapark.pl/prospekt,X
2528,"MADEY DEVELOPMENT 6 Spółka z ograniczoną odpowiedzialnością",0001179630,X,7282898948,542036426,576117119,sprzedaz@madeydevelopment.pl,X,www.piekarskapark.pl,łódzkie,Łódź,Łódź,Łódź,Przybyszewskiego,199,205,93-120,"Piekarska Park",www.piekarskapark.pl,łódzkie,Łódź,Łódź,Łódź,Inflancka,120,X,91-848,łódzkie,Łódź,X,Łódź,Piekarska,27/29,91-314,Mieszkanie,A1.3,40.06,1,2,8,PLN,10900.00,"2025-11-04 00:00",436654.00,"2025-11-04 00:00",https://piekarskapark.pl/prospekt,X
2529,"MADEY DEVELOPMENT 6 Spółka z ograniczoną odpowiedzialnością",0001179630,X,7282898948,542036426,576117119,sprzedaz@madeydevelopment.pl,X,www.piekarskapark.pl,łódzkie,Łódź,Łódź,Łódź,Przybyszewskiego,199,205,93-120,"Piekarska Park",www.piekarskapark.pl,łódzkie,Łódź,Łódź,Łódź,Inflancka,120,X,91-848,łódzkie,Łódź,X,Łódź,Piekarska,27/29,91-314,Mieszkanie,A1.4,48.93,1,2,8,PLN,10200.00,"2025-11-04 00:00",499086.00,"2025-11-04 00:00",https://piekarskapark.pl/prospekt,X
2530,"MADEY DEVELOPMENT 6 Spółka z ograniczoną odpowiedzialnością",0001179630,X,7282898948,542036426,576117119,sprzedaz@madeydevelopment.pl,X,www.piekarskapark.pl,łódzkie,Łódź,Łódź,Łódź,Przybyszewskiego,199,205,93-120,"Piekarska Park",www.piekarskapark.pl,łódzkie,Łódź,Łódź,Łódź,Inflancka,120,X,91-848,łódzkie,Łódź,X,Łódź,Piekarska,27/29,91-314,Mieszkanie,A1.5,80.51,1,4,8,PLN,8100.00,"2025-11-04 00:00",652131.00,"2025-11-04 00:00",https://piekarskapark.pl/prospekt,X
2531,"MADEY DEVELOPMENT 6 Spółka z ograniczoną odpowiedzialnością",0001179630,X,7282898948,542036426,576117119,sprzedaz@madeydevelopment.pl,X,www.piekarskapark.pl,łódzkie,Łódź,Łódź,Łódź,Przybyszewskiego,199,205,93-120,"Piekarska Park",www.piekarskapark.pl,łódzkie,Łódź,Łódź,Łódź,Inflancka,120,X,91-848,łódzkie,Łódź,X,Łódź,Piekarska,27/29,91-314,Mieszkanie,A1.6,34.26,1,2,8,PLN,8900.00,"2025-11-04 00:00",304914.00,"2025-11-04 00:00",https://piekarskapark.pl/prospekt,X
2532,"MADEY DEVELOPMENT 6 Spółka z ograniczoną odpowiedzialnością",0001179630,X,7282898948,542036426,576117119,sprzedaz@madeydevelopment.pl,X,www.piekarskapark.pl,łódzkie,Łódź,Łódź,Łódź,Przybyszewskiego,199,205,93-120,"Piekarska Park",www.piekarskapark.pl,łódzkie,Łódź,Łódź,Łódź,Inflancka,120,X,91-848,łódzkie,Łódź,X,Łódź,Piekarska,27/29,91-314,Mieszkanie,A1.7,67.05,1,3,8,PLN,8400.00,"2025-11-04 00:00",563220.00,"2025-11-04 00:00",https://piekarskapark.pl/prospekt,X
2533,"MADEY DEVELOPMENT 6 Spółka z ograniczoną odpowiedzialnością",0001179630,X,7282898948,542036426,576117119,sprzedaz@madeydevelopment.pl,X,www.piekarskapark.pl,łódzkie,Łódź,Łódź,Łódź,Przybyszewskiego,199,205,93-120,"Piekarska Park",www.piekarskapark.pl,łódzkie,Łódź,Łódź,Łódź,Inflancka,120,X,91-848,łódzkie,Łódź,X,Łódź,Piekarska,27/29,91-314,Mieszkanie,A2.1,82.30,2,4,8,PLN,8300.00,"2025-11-04 00:00",683090.00,"2025-11-04 00:00",https://piekarskapark.pl/prospekt,X
2534,"MADEY DEVELOPMENT 6 Spółka z ograniczoną odpowiedzialnością",0001179630,X,7282898948,542036426,576117119,sprzedaz@madeydevelopment.pl,X,www.piekarskapark.pl,łódzkie,Łódź,Łódź,Łódź,Przybyszewskiego,199,205,93-120,"Piekarska Park",www.piekarskapark.pl,łódzkie,Łódź,Łódź,Łódź,Inflancka,120,X,91-848,łódzkie,Łódź,X,Łódź,Piekarska,27/29,91-314,Mieszkanie,A2.2,39.29,2,2,8,PLN,8900.00,"2025-11-04 00:00",349681.00,"2025-11-04 00:00",https://piekarskapark.pl/prospekt,X
2535,"MADEY DEVELOPMENT 6 Spółka z ograniczoną odpowiedzialnością",0001179630,X,7282898948,542036426,576117119,sprzedaz@madeydevelopment.pl,X,www.piekarskapark.pl,łódzkie,Łódź,Łódź,Łódź,Przybyszewskiego,199,205,93-120,"Piekarska Park",www.piekarskapark.pl,łódzkie,Łódź,Łódź,Łódź,Inflancka,120,X,91-848,łódzkie,Łódź,X,Łódź,Piekarska,27/29,91-314,Mieszkanie,A2.3,40.06,2,2,8,PLN,8800.00,"2025-11-04 00:00",352528.00,"2025-11-04 00:00",https://piekarskapark.pl/prospekt,X
